"","genre","year_bin","n","rank"
"1","backwoods horror",1970,37,7
"2","backwoods horror",1980,64,7
"3","backwoods horror",1990,22,16
"4","backwoods horror",2000,112,5
"5","backwoods horror",2010,154,8
"6","backwoods horror",2020,19,5
"7","folk horror",1970,33,8
"8","folk horror",1980,33,15
"9","folk horror",1990,37,10
"10","folk horror",2000,75,10
"11","folk horror",2010,140,11
"12","folk horror",2020,18,6
"13","found footage",1970,3,26
"14","found footage",1980,1,27
"15","found footage",1990,5,25
"16","found footage",2000,23,26
"17","found footage",2010,78,15
"18","found footage",2020,3,17
"19","phobia",1970,172,2
"20","phobia",1980,257,3
"21","phobia",1990,146,3
"22","phobia",2000,368,1
"23","phobia",2010,709,1
"24","phobia",2020,78,2
"25","witches",1970,22,12
"26","witches",1980,27,19
"27","witches",1990,25,15
"28","witches",2000,32,23
"29","witches",2010,40,26
"30","witches",2020,7,13
