"","title","rating","found_footage"
"1","The Silence of the Lambs (1991)",8.6,"N"
"2","The Scooby-Doo Project (1999)",7.5,"Y"
"3","Red Dragon (2002)",7.2,"N"
"4","Behind the Mask: The Rise of Leslie Vernon (2006)",6.7,"Y"
"5","Multiple Maniacs (1970)",6.5,"N"
"6","The Blair Witch Project (1999)",6.5,"Y"
"7","The Raven (2012)",6.4,"N"
"8","WNUF Halloween Special (2013)",6.4,"Y"
"9","Grave Encounters (2011)",6.1,"Y"
"10","The House on Sorority Row (1983)",6.1,"N"
"11","The Room (2019)",6,"N"
"12","V/H/S/2 (2013)",6,"Y"
"13","Book of Lore (2007)",5.9,"N"
"14","The Invasion (2007)",5.9,"N"
"15","Butterfly Kisses (2018)",5.8,"Y"
